Federal Provider Number,Residents Total Confirmed COVID-19,Residents Total COVID-19 Deaths,Number of All Beds,Total Number of Occupied Beds,Staff Total Confirmed COVID-19,Staff Total COVID-19 Deaths,No Confirmed COVID-19 Cases among residents,Confirmed COVID-19 Cases among residents (1-<95% Percentile),Confirmed COVID-19 Cases among residents (>=95% Percentile),No Confirmed COVID-19 Cases among staff,Confirmed COVID-19 Cases among staff (1-<95% Percentile),Confirmed COVID-19 Cases among staff (>=95% Percentile),No Confirmed COVID-19 Deaths among residents,Confirmed COVID-19 Deaths among residents (1-<95% Percentile),Confirmed COVID-19 Deaths among residents (>=95% Percentile),No Confirmed COVID-19 Deaths among staff,Confirmed COVID-19 Deaths among staff (>0),Facility size Small (<33% Percentile beds),Facility size Medium (33%-66% Percentile beds),Facility size Large (>66% Percentile beds),Low occupancy rate (<33% Percentile),Medium occupancy rate (33%-66% Percentile),High occupancy rate (>66% Percentile)
055612,0,0,50,33,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
395321,35,14,114,75,30,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
455550,0,0,137,56,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
425316,0,0,38,35,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
265683,0,0,60,46,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
505075,1,0,106,61,2,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
335803,25,12,120,85,18,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
366109,0,0,60,52,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
366148,0,0,20,20,3,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
375255,1,0,116,53,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
375417,0,0,125,55,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
445469,0,0,101,81,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
385077,0,0,104,83,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
495333,0,0,132,100,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
105052,1,0,192,138,10,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
08A011,1,0,46,38,3,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
055032,11,4,87,69,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
055735,1,0,128,111,4,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
015322,0,0,87,75,6,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
