Federal Provider Number,Provider Zip Code,Ownership Type,Date First Approved to Provide Medicare and Medicaid services,Overall Rating,Reported RN Staffing Hours per Resident per Day,Reported Total Nurse Staffing Hours per Resident per Day,Total Amount of Fines in Dollars,Facility age,Government,Non profit,For profit,Young (<33% Percentile),Medium (33%-66% Percentile),Old (>66% Percentile),4- or 5-Star Overall Rating,3-Star Overall Rating,1- or 2-Star Overall Rating,0.75 RN staffing hours per resident day or higher,Under 0.75 RN staffing hours per resident day ,4.1 nurse staffing hours per resident day or higher,Under 4.1 nurse staffing hours per resident day,No fine,Small fine (1-<Median),Large fine (>=Median),No federal deficiencies,Federal deficiencies,Serious federal deficiencies
365333,43402,For profit - Corporation,08/27/1976,4,0.68312,3.45472,0,44,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,19,0
315254,07093,For profit - Corporation,02/01/1988,5,0.98179,3.23607,0,32,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,5,0
325071,87410,For profit - Partnership,08/01/1992,2,0.57381,3.23398,0,28,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,31,2
265873,63084,For profit - Corporation,12/21/2018,5,0.49434,3.10734,0,2,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,3,0
495309,23509,For profit - Partnership,05/01/1996,2,0.36831,3.17798,0,24,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,33,2
515181,26104,For profit - Corporation,10/01/2002,4,0.91735,3.51293,13000,18,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,29,2
676108,77662,For profit - Limited Liability company,09/01/2006,2,0.15538,3.72184,0,14,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,28,0
505465,98292,Non profit - Church related,01/01/1992,4,0.80193,4.30574,11375,29,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,52,6
365392,44135,For profit - Corporation,07/01/1979,1,0.28946,3.22745,0,41,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,59,0
375122,73072,For profit - Partnership,06/01/1992,4,0.40604,3.60478,6500,28,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,16,1
495369,23188,Non profit - Corporation,04/14/2003,3,0.58852,4.1293,0,17,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,35,0
335590,13126,For profit - Corporation,01/01/1977,1,0.42038,2.91787,13905,44,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,42,2
345195,27886,For profit - Corporation,10/01/1979,3,0.59174,3.43289,10400,41,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,7,1
505024,99207,For profit - Corporation,01/01/1967,1,0.8202,3.57213,112268,54,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,107,10
505513,98198,For profit - Limited Liability company,02/02/2004,3,0.85447,4.66302,16772,16,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,73,0
335212,14411,For profit - Partnership,01/01/1967,1,0.19895,3.51232,6893,54,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,37,1
366263,45322,Non profit - Corporation,04/07/2003,4,0.66815,4.47686,0,17,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,14,0
676016,75452,For profit - Partnership,10/03/2003,2,0.71391,3.97581,6701,17,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,33,0
