countyFIPS,7/19/20,7/19/20,population,County Infections per 100K,County Deaths per 100K,County Infections per 100K below Median,County Infections per 100K Median or higher,County Deaths per 100K below Median,County Deaths per 100K Median or higher
0,0,0,0,,,0,1,0,1
1001,842,21,55869,1507,38,0,1,0,1
1003,1937,15,223234,868,7,0,1,0,1
1005,495,3,24686,2005,12,0,1,0,1
1007,269,2,22394,1201,9,0,1,0,1
1009,482,1,57826,834,2,0,1,1,0
1011,398,11,10101,3940,109,0,1,0,1
1013,686,33,19448,3527,170,0,1,0,1
1015,785,6,113605,691,5,0,1,1,0
1017,762,33,33254,2291,99,0,1,0,1
1019,173,7,26196,660,27,0,1,0,1
1021,473,4,44428,1065,9,0,1,0,1
1023,239,12,12589,1898,95,0,1,0,1
1025,386,7,23622,1634,30,0,1,0,1
1027,118,2,13235,892,15,0,1,0,1
1029,79,1,14910,530,7,0,1,0,1
1031,542,4,52342,1035,8,0,1,0,1
1033,738,9,55241,1336,16,0,1,0,1
1035,288,9,12067,2387,75,0,1,0,1
1037,73,1,10663,685,9,0,1,0,1
1039,572,17,37049,1544,46,0,1,0,1
1041,160,3,13772,1162,22,0,1,0,1
1043,822,7,83768,981,8,0,1,0,1
1045,515,3,49172,1047,6,0,1,1,0
1047,1152,13,37196,3097,35,0,1,0,1
1049,1304,7,71513,1823,10,0,1,0,1
1051,1281,27,81209,1577,33,0,1,0,1
1053,636,12,36633,1736,33,0,1,0,1
1055,1333,15,102268,1303,15,0,1,0,1
1057,123,5,16302,755,31,0,1,0,1
1059,1025,16,31362,3268,51,0,1,0,1
1061,144,0,26271,548,0,0,1,1,0
1063,220,9,8111,2712,111,0,1,0,1
1065,402,23,14651,2744,157,0,1,0,1
1067,194,4,17205,1128,23,0,1,0,1
1069,850,10,105882,803,9,0,1,0,1
1071,567,4,51626,1098,8,0,1,0,1
1073,8742,185,658573,1327,28,0,1,0,1
1075,130,1,13805,942,7,0,1,0,1
1077,751,8,92729,810,9,0,1,0,1
1079,187,0,32924,568,0,0,1,1,0
1081,2063,39,164542,1254,24,0,1,0,1
1083,854,6,98915,863,6,0,1,1,0
1085,519,25,9726,5336,257,0,1,0,1
1087,260,10,18068,1439,55,0,1,0,1
1089,3505,15,372909,940,4,0,1,1,0
1091,421,11,18863,2232,58,0,1,0,1
1093,428,16,29709,1441,54,0,1,0,1
1095,2364,19,96774,2443,20,0,1,0,1
1097,6045,166,413210,1463,40,0,1,0,1
1099,333,4,20733,1606,19,0,1,0,1
