PROV,paymcaid,multifac,pctwhite_2011p,Low Medicaid share (<Median),High Medicaid share (>=Median),No chain affiliation,Chain affiliation,Low racial or ethnic minority share (<Median),High racial or ethnic minority share (>=Median)
015436,67.15,Yes,35.85,0,1,0,1,1,0
015009,66.07,No,97.73,0,1,1,0,0,1
015010,60.81,No,77.27,1,0,1,0,1,0
015447,64.81,Yes,78.18,0,1,0,1,1,0
015012,52,Yes,100,1,0,0,1,0,1
015014,80.77,Yes,LNE,0,1,0,1,0,1
015015,64.77,No,90.48,0,1,1,0,0,1
015016,77.78,Yes,77.98,0,1,0,1,1,0
015019,59.79,Yes,62.37,1,0,0,1,1,0
015023,75,No,96.3,0,1,1,0,0,1
015024,58.71,No,97.74,1,0,1,0,0,1
015027,47.86,Yes,89.72,1,0,0,1,0,1
015028,79.22,Yes,80.88,0,1,0,1,1,0
015031,43.29,No,85.03,1,0,1,0,1,0
015032,54.92,Yes,94.26,1,0,0,1,0,1
015034,80,Yes,60.34,0,1,0,1,1,0
015035,75.47,Yes,59.26,0,1,0,1,1,0
015037,84.75,Yes,23.21,0,1,0,1,1,0
015040,69.7,Yes,15.83,0,1,0,1,1,0
015042,67.05,Yes,31.71,0,1,0,1,1,0
015044,92.59,No,50,0,1,1,0,1,0
015045,72.62,Yes,65.43,0,1,0,1,1,0
015047,75.96,Yes,19.79,0,1,0,1,1,0
015048,65.93,Yes,98.81,0,1,0,1,0,1
015049,43.82,Yes,82.72,1,0,0,1,1,0
015050,71.23,Yes,24.19,0,1,0,1,1,0
015053,82.19,No,95.59,0,1,1,0,0,1
015060,80.7,Yes,33.33,0,1,0,1,1,0
015063,61.96,Yes,95.12,1,0,0,1,0,1
015065,38.3,Yes,81.95,1,0,0,1,1,0
015066,71.43,Yes,94,0,1,0,1,0,1
015067,69.77,Yes,90.7,0,1,0,1,0,1
015071,89.58,Yes,93.33,0,1,0,1,0,1
015073,65.84,No,98.37,0,1,1,0,0,1
015075,75.25,No,93.85,0,1,1,0,0,1
015076,58.15,Yes,87.91,1,0,0,1,1,0
015083,73.49,No,79.22,0,1,1,0,1,0
015084,74.51,No,46.46,0,1,1,0,1,0
015089,75.41,Yes,66.04,0,1,0,1,1,0
015091,79.1,No,53.42,0,1,1,0,1,0
015097,65.28,Yes,36.84,0,1,0,1,1,0
015098,48.94,Yes,81.82,1,0,0,1,1,0
015100,75,Yes,50.39,0,1,0,1,1,0
015101,85.71,No,97.87,0,1,1,0,0,1
015103,65.35,Yes,57.02,0,1,0,1,1,0
015104,88.89,Yes,61.64,0,1,0,1,1,0
015109,88.37,Yes,30,0,1,0,1,1,0
015111,62.14,Yes,70.87,1,0,0,1,1,0
015112,80.65,Yes,LNE,0,1,0,1,0,1
015113,66.06,Yes,77.92,0,1,0,1,1,0
015114,71.72,No,91.21,0,1,1,0,0,1
015115,64.21,Yes,94.9,1,0,0,1,0,1
015116,58.06,Yes,78.5,1,0,0,1,1,0
015117,78,No,16.09,0,1,1,0,1,0
015119,89.52,Yes,20,0,1,0,1,1,0
015120,36.36,Yes,85.47,1,0,0,1,1,0
015121,78.46,Yes,62.69,0,1,0,1,1,0
015435,63.74,No,65.38,1,0,1,0,1,0
015123,92.41,No,80.52,0,1,1,0,1,0
015124,60.81,No,97.87,1,0,1,0,0,1
015126,65.98,No,91.01,0,1,1,0,0,1
015127,82.57,Yes,62.77,0,1,0,1,1,0
015128,61.86,Yes,93.4,1,0,0,1,0,1
015129,83.53,Yes,55.81,0,1,0,1,1,0
015434,66.06,Yes,68.75,0,1,0,1,1,0
015132,68.31,Yes,60.31,0,1,0,1,1,0
015133,69.17,Yes,87.5,0,1,0,1,1,0
015134,70.49,No,55.88,0,1,1,0,1,0
015135,26.98,No,100,1,0,1,0,0,1
015136,74.55,No,95.28,0,1,1,0,0,1
015137,75.58,No,57.33,0,1,1,0,1,0
015138,69.57,No,100,0,1,1,0,0,1
015139,69.15,Yes,75.27,0,1,0,1,1,0
015141,80.43,Yes,67.39,0,1,0,1,1,0
015142,74.75,Yes,83.15,0,1,0,1,1,0
015143,48.75,No,88.16,1,0,1,0,1,0
015144,73.58,Yes,80.56,0,1,0,1,1,0
015145,47.37,Yes,73.74,1,0,0,1,1,0
015147,70.18,Yes,91.07,0,1,0,1,0,1
015148,56.63,Yes,100,1,0,0,1,0,1
015149,55.07,No,98.48,1,0,1,0,0,1
015150,75.31,No,92.86,0,1,1,0,0,1
015151,87.5,Yes,38,0,1,0,1,1,0
015152,55.84,No,82.19,1,0,1,0,1,0
015153,49.12,Yes,15.38,1,0,0,1,1,0
015154,75.7,No,86.79,0,1,1,0,1,0
015155,56.49,Yes,90.76,1,0,0,1,0,1
015156,79.82,Yes,99.06,0,1,0,1,0,1
015157,62.67,Yes,100,1,0,0,1,0,1
015158,86.21,No,43.86,0,1,1,0,1,0
015159,76.36,Yes,92.39,0,1,0,1,0,1
015160,71.92,Yes,81.02,0,1,0,1,1,0
015162,81.05,Yes,63.01,0,1,0,1,1,0
015163,65.99,Yes,94.66,0,1,0,1,0,1
015164,82.95,Yes,47.78,0,1,0,1,1,0
015166,77.91,Yes,61.96,0,1,0,1,1,0
015167,75.68,Yes,93.06,0,1,0,1,0,1
015168,87.14,No,85.14,0,1,1,0,1,0
015169,51.52,No,84.68,1,0,1,0,1,0
015171,77.98,No,23.53,0,1,1,0,1,0
015174,72.04,Yes,82.14,0,1,0,1,1,0
015175,62.11,Yes,76.34,1,0,0,1,1,0
015176,71.53,Yes,100,0,1,0,1,0,1
015177,86.36,Yes,47.06,0,1,0,1,1,0
015178,57.14,No,LNE,1,0,1,0,0,1
015179,83.33,Yes,66.67,0,1,0,1,1,0
015180,51.01,Yes,82.96,1,0,0,1,1,0
015182,81.01,Yes,57.69,0,1,0,1,1,0
015183,81.21,No,42.11,0,1,1,0,1,0
015184,85.95,No,96.52,0,1,1,0,0,1
015186,70.06,Yes,54.94,0,1,0,1,1,0
015187,54.84,Yes,76.36,1,0,0,1,1,0
015188,69.44,Yes,58.33,0,1,0,1,1,0
015189,70.59,Yes,84.85,0,1,0,1,1,0
015191,78.13,Yes,73.77,0,1,0,1,1,0
015192,57.76,Yes,73.43,1,0,0,1,1,0
015193,78.49,Yes,64.04,0,1,0,1,1,0
015194,68.97,No,91.03,0,1,1,0,0,1
