FIPS State county code,CBSA (Blanks are Rural),Rural area,Urban area
1001,33860,1,0
1003,19300,1,0
1005,,0,1
1007,13820,1,0
1009,13820,1,0
1011,,0,1
1013,,0,1
1015,11500,1,0
1017,,0,1
1019,,0,1
1021,13820,1,0
1023,,0,1
1025,,0,1
1027,,0,1
1029,,0,1
1031,,0,1
1033,22520,1,0
1035,,0,1
1037,,0,1
1039,,0,1
1041,,0,1
1043,,0,1
1045,,0,1
1047,,0,1
1049,,0,1
1051,33860,1,0
1053,,0,1
1055,23460,1,0
1057,,0,1
1059,,0,1
1061,20020,1,0
1063,,0,1
1065,46220,1,0
1067,20020,1,0
1069,20020,1,0
1071,,0,1
1073,13820,1,0
1075,,0,1
1077,22520,1,0
1079,19460,1,0
1081,12220,1,0
1083,26620,1,0
1085,33860,1,0
1087,,0,1
1089,26620,1,0
1091,,0,1
1093,,0,1
1095,,0,1
1097,33660,1,0
1099,,0,1
1101,33860,1,0
1103,19460,1,0
1105,,0,1
1107,46220,1,0
1109,,0,1
1111,,0,1
1113,17980,1,0
1115,13820,1,0
1117,13820,1,0
1119,,0,1
1121,,0,1
1123,,0,1
1125,46220,1,0
1127,13820,1,0
1129,,0,1
1131,,0,1
1133,,0,1
1990,,0,1
2013,,0,1
2016,,0,1
2020,11260,1,0
2050,,0,1
2060,,0,1
2068,,0,1
2070,,0,1
2090,21820,1,0
2100,,0,1
2105,,0,1
2110,,0,1
2122,,0,1
2130,,0,1
2150,,0,1
2164,,0,1
2170,11260,1,0
2180,,0,1
2185,,0,1
2188,,0,1
2195,,0,1
2198,,0,1
2220,,0,1
2230,,0,1
2240,,0,1
2261,,0,1
2270,,0,1
2275,,0,1
2282,,0,1
2290,,0,1
2990,,0,1
4001,,0,1
4003,43420,1,0
4005,22380,1,0
4007,,0,1
4009,,0,1
4011,,0,1
4012,,0,1
4013,38060,1,0
4015,29420,1,0
4017,,0,1
4019,46060,1,0
4021,38060,1,0
4023,,0,1
4025,39140,1,0
4027,49740,1,0
4990,,0,1
5001,,0,1
5003,,0,1
5005,,0,1
5007,22220,1,0
5009,,0,1
5011,,0,1
5013,,0,1
5015,,0,1
5017,,0,1
5019,,0,1
5021,,0,1
5023,,0,1
5025,38220,1,0
5027,,0,1
5029,,0,1
5031,27860,1,0
5033,22900,1,0
5035,32820,1,0
5037,,0,1
5039,,0,1
5041,,0,1
5043,,0,1
5045,30780,1,0
5047,,0,1
5049,,0,1
5051,26300,1,0
5053,30780,1,0
5055,,0,1
5057,,0,1
5059,,0,1
5061,,0,1
5063,,0,1
5065,,0,1
5067,,0,1
5069,38220,1,0
5071,,0,1
5073,,0,1
5075,,0,1
5077,,0,1
5079,38220,1,0
5081,45500,1,0
5083,,0,1
5085,30780,1,0
5087,22220,1,0
5089,,0,1
5091,45500,1,0
5093,,0,1
5095,,0,1
5097,,0,1
5099,,0,1
5101,,0,1
5103,,0,1
5105,30780,1,0
5107,,0,1
5109,,0,1
5111,27860,1,0
5113,,0,1
5115,,0,1
5117,,0,1
5119,30780,1,0
5121,,0,1
5123,,0,1
5125,30780,1,0
5127,,0,1
5129,,0,1
5131,22900,1,0
5133,,0,1
5135,,0,1
5137,,0,1
5139,,0,1
5141,,0,1
5143,22220,1,0
5145,,0,1
5147,,0,1
5149,,0,1
5990,,0,1
6001,36084,1,0
6003,,0,1
6005,,0,1
6007,17020,1,0
6009,,0,1
6011,,0,1
6013,36084,1,0
6015,,0,1
6017,40900,1,0
6019,23420,1,0
6021,,0,1
6023,,0,1
6025,20940,1,0
6027,,0,1
6029,12540,1,0
6031,25260,1,0
6033,,0,1
6035,,0,1
6037,31084,1,0
6037,31084,1,0
6039,31460,1,0
6041,42034,1,0
6043,,0,1
6045,,0,1
6047,32900,1,0
6049,,0,1
6051,,0,1
6053,41500,1,0
6055,34900,1,0
6057,,0,1
6059,11244,1,0
6061,40900,1,0
6063,,0,1
6065,40140,1,0
6067,40900,1,0
6069,41940,1,0
6071,40140,1,0
6073,41740,1,0
6075,41884,1,0
6077,44700,1,0
6079,42020,1,0
6081,41884,1,0
6083,42200,1,0
6085,41940,1,0
6087,42100,1,0
6089,39820,1,0
6091,,0,1
6093,,0,1
6095,46700,1,0
6097,42220,1,0
6099,33700,1,0
6101,49700,1,0
6103,,0,1
6105,,0,1
6107,47300,1,0
6109,,0,1
6111,37100,1,0
6113,40900,1,0
6115,49700,1,0
6990,,0,1
8001,19740,1,0
8003,,0,1
8005,19740,1,0
8007,,0,1
8009,,0,1
8011,,0,1
8013,14500,1,0
8015,,0,1
8017,,0,1
8019,19740,1,0
8021,,0,1
8023,,0,1
8025,,0,1
8027,,0,1
8029,,0,1
8031,19740,1,0
8033,,0,1
8035,19740,1,0
8037,,0,1
8039,19740,1,0
8041,17820,1,0
8043,,0,1
8045,,0,1
8047,19740,1,0
8049,,0,1
8051,,0,1
8053,,0,1
8055,,0,1
8057,,0,1
8059,19740,1,0
8061,,0,1
8063,,0,1
8065,,0,1
8067,,0,1
8069,22660,1,0
8071,,0,1
8073,,0,1
8075,,0,1
8077,24300,1,0
8079,,0,1
8081,,0,1
8083,,0,1
8085,,0,1
8087,,0,1
8089,,0,1
8091,,0,1
8093,19740,1,0
8095,,0,1
8097,,0,1
8099,,0,1
8101,39380,1,0
8103,,0,1
8105,,0,1
8107,,0,1
8109,,0,1
8111,,0,1
8113,,0,1
